"Year","avgHDD"
"1",1981,632.703615609058
"2",1982,517.326898524032
"3",1983,544.790761659934
"4",1984,566.466867926371
"5",1985,577.672327090089
"6",1986,547.287777531313
"7",1987,599.981520009349
"8",1988,607.481054832979
"9",1989,631.674634322343
"10",1990,588.806915916677
"11",1991,565.082564009883
"12",1992,583.765113199315
"13",1993,534.612586307143
"14",1994,676.48096103778
"15",1995,507.441073864414
"16",1996,659.627152610433
"17",1997,602.297048997701
"18",1998,614.227362959669
"19",1999,572.626688862307
"20",2000,716.522490899246
"21",2001,695.218649701144
"22",2002,720.46609202662
"23",2003,688.232227337165
"24",2004,639.652363176448
"25",2005,655.216140118566
"26",2006,698.077088933344
"27",2007,736.840696467356
"28",2008,630.242395944971
"29",2009,655.41755984608
"30",2010,689.706001216432
"31",2011,643.425604536253
